source_row_number,question_number_label,kisi_kisi,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,block,topic,parsing_notes
1,1,Ilmu Resep,"Seorang Apoteker di apotek mendapatkan resep sebagai berikut:
R/ Vit.C 1/2 tab
Paracetamol 1/2 tab
Deksametason 1/2 tab
Guaiafenesin 1/2 tab
Amoxicillin 250 mg
M.f.l.a dtd No.X
S t.dd 1 p.c
Berdasarkan resep diatas, obat manakah yang seharusnya pemberiannya tidak boleh digabung dalam puyer ?",Vit. C,Parasetamol,Deksametason,Guaiafenesin,Amoxicillin,E,"Antibiotik sebaiknya tidak dicampur dalam puyer dengan obat kainnya karena Risiko obat tidak habiskan, stabilitas terganggu, dan dapat menyebabkan penggunaan antibiotik tidak rasional.",,,
2,2,Perhitungan Dosis,"Suatu industri farmasi akan memproduksi sediaan aerosol salbutamol sulfat. Dalam kemasan tertera MDI 200 dosis. Volume wadah sediaan 10 ml dengan kandungan salbutamol 20 mg.
Berapa kandungan salbutamol dalam mikro untuk satu kali pakai/ satu kali dosis ?",10 mcg/dosis,50 mcg/dosis,100 mcg/dosis,150 mcg/dosis,200 mcg/dosis,C,"Kandungan salbutamol 20 mg = 20.000 mcg. Dibagi 200 dosis = 100 mcg/dosis.
Keterangan :
MDI (Metered-Dose Inhaler) adalah alat genggam bertekanan yang menyemprotkan dosis obat asma atau PPOK yang terukur langsung ke paru-paru dalam bentuk kabut aerosol
1 mg = 1000 mcg",,,
3,3,Perhitungan Dosis,"Seorang pria 26 tahun menderita ISPA. Pasien datang dengan membawa resep sebagai berikut:
R/ Amoxiclav 625 mg No XXI
S 3dd 1 pc
R/ PCT 500 mg
Metilprednisolon 4 mg
Ambroxol 30 mg
M.f. caps dtd No.XX
S.2.dd 1 pc
Jika obat yang tersedia hanya Metilprednisolon 8mg dan paracetamol 625 mg. Berapa banyak tablet yang diambil?",PCT 6 tab dan metilprednisolon 11 tab,PCT 8 tab dan metilprednisolon 5 tab,PCT 11 tab dan metilprednisolon 11 tab,PCT 16 tab dan metilprednisolon 10 tab,PCT 20 tab dan metilprednisolon 20 tab,D,"Rumus
x Jumlah kebutuhan
Paracetamol
= 16 tablet
Metilprednisolon
= 10 tablet
.",,,
4,4,Beyond Use Date,Berapakah suhu penyimpanan vaksin hepatitis B di puskesmas ?,suhu -15 s.d -25 C,suhu 0 - 2 C,suhu 2-8 C,suhu ruang,suhu >34 C,D,"Vaksin hepatitis B dapat mentoleransi suhu ruang dalam waktu terbatas karena relative stabil terhadap panas, tetapi penyimpanan rutinnya tetap di suhu 2-8 C, untuk memastikan boleh/tidaknya vaksin digunakan, harus melihat kondisi vaksin salah satunya dengan melakukan pengecekan VVM (Vaccine Vial Monitor)",,,
5,5.,Beyond Use Date,"Seorang perawat di salah satu RS, akan melakukan rekonstitusi pada vaksin campak, Vaksin dibuka pukul 08.00 pagi. Kapan batas maksimal penggunaan vaksin setelah di rekonstitusi ?",pukul 11.00,pukul 14.00,08.00 keesokan harinya,2 minggu setelah kemasan dibuka,4 minggu setelah kemasan dibuka,B,Vaksin campak yang sudah direkonstitusi/dibuka harus digunakan maksimal 6 jam. Jika dimulai pukul 08.00 maka batas maksimalnya pukul 14.00.,,,
6,6,Bahasa Latin Resep,"Seorang apoteker mendapatkan resep dari dokter sebagai berikut:
R/ Natrium docusat
S. bdd. II gtt adc.
Bagaimana penggunaan obat tersebut?","Obat tetes telinga, diteteskan 2 kali sehari sebanyak 2 tetes pada telinga kanan dan kiri","Obat tetes telinga, diteteskan 3 kali sehari sebanyak 2 tetes pada telinga kanan","Obat tetes mata, diteteskan 2 kali sehari sebanyak 4 tetes pada telinga kiri dan kanan","Obat tetes mata, diteteskan 2 kali sehari sebanyak 2 tetes pada telinga kanan dan kiri","Obat tetes telinga, diteteskan 2 kali sehari sebanyak 4 tetes pada telinga kanan",A,"bdd = 2 kali sehari
II gtt = 2 tetes
adc (auric dextrae sinister) = telinga kanan dan kiri.",,,
7,7,Karakteristik Pribadi,"Seorang pasien di apotek membawa krim optalmik kloramphenikol yang dibelinya di apotek 2 jam yang lalu. Pasien tersebut komplain karena dirasa krim terlalu cair.
Apa yang anda lakukan sebagai apoteker yang sedang bertugas?",Meminta pasien menukar dengan yang baru,Menjelaskan bahwa obat hal tersebut merupakan teknologi terbaru dari produsen krim,Menggali informasi terkait penyimpanan yang dilakukan,Menjelaskan bahwa barang yang sudah dibeli tidak biasa dikembalikan,Mengembalikan uang pasien dan meminta maaf,C,"Langkah pertama adalah investigasi penyebab keluhan, termasuk cara penyimpanan setelah obat diterima. Sediaan semisolid dapat berubah konsistensi bila terpapar suhu tinggi.",,,
8,8,Bahasa Latin Resep,"Seorang pasien mendapat resep Lidokain gel 5% dengan Signa Us. Ext 1-0-1.
Apa arti dari signa tersebut?",Digunakan untuk pemakaian luar pagi dan malam,Digunakan untuk pemakaian luar siang dan malam,Digunakan untuk pemakaian secara oral pagi dan siang,Digunakan untuk pemakaian secara oral pagi dan malam,Digunakan untuk pemakaian oral pagi dan malam,A,"Us. Ext (Usus Externum) = penggunaan luar.
1-0-1 (Keterangan waktu) = pagi dan malam.",,,
9,9,Perhitungan Dosis Resep,"Seorang ibu menebus resep di FRS untuk anaknya yang berusia 4 bulan. Anak tersebut mengalami diare dan diberikan resep sebagai berikut:
R/ Zinc 20 mg NO. VII
S 1 dd 1/2 tab
Pro a.n. X (4 bulan)
Ibu tersebut ingin meminta sediaan sirup. Di IFRS hanya tersedia sediaan bentuk syrup 10 mg/5 ml dalam botol 60 ml.
Berapa botol yang diberikan ke pada ibu tersebut?",1 botol,2 botol,3 botol,4 botol,5 botol,B,"Bayi <6 bulan umumnya memerlukan zinc 10 mg/hari selama 10-14 hari.
Di resep dibutuhkan 20 mg sebanyak 7 tab, tetapi penggunaannya hanya 1/2 tab atau 10 mg. maka penggunaan obat tersebut untuk 14 hari
Sediaan sirup 60 mL memiliki kandungan 10mg/5 mL
1 botol sirup digunakan untuk 12 hari pemakaian ( = 12), maka untuk 14 hari, butuh 2 botol",,,
10,10,ITER Resep,"Seorang pria membeli obat untuk mengatasi nyeri sendi dan kesemutan. Pasien tersebut hendak membeli setengah resep. Berikut resep pasien:
ITER 2x
R/ Natrium diklofenak 25 mg
Metilprednisolon 4 mg
Sianokobalamin 50 mcg
M.f. caps dtd No.XX
S.2.dd 1 pc
Berapa sisa kapsul masih dapat diberikan kepada pasien tersebut?",10 kapsul,20 kapsul,30 kapsul,40 kapsul,50 kapsul,E,"Resep asli No. XX = 20 kapsul.
Terdapat Iter 2x artinya resep boleh diulang 2 kali.
Jumlah total yang di dapatkan pasien 20 x 3 (1 dari resep asli dan 2 kali dari pengulangan) = 60 kapsul
Pasien hanya ingin menebus setengahnya dari resep asli,
Resep asli = 20 kapsul, diambil setengahnya jadi tinggal 10 kapsul
Total sisa yang masih bisa ditebus = 50 kapsul ( 10 kapsul sisa dari resep asli, 40 kapsul dari pengulangan)",,,
