source_row_number,question_number_label,kisi_kisi,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,block,topic,parsing_notes
1,41,KARDIOVASKULAR,"Seorang pria (65 thn) dengan riwayat sakit jantung mengalami penurunan fungsi ginjal mendadak (kreatinin naik) dan kelebihan kalium (kalium 5,8 mmol/L). Obat mana yang paling mungkin menyebabkan efek samping tersebut?",Bisoprolol,Amlodipin,Lisinopril,Simvastatin,Furosemid,C,Lisinopril adalah ACE inhibitor. Obat ini dapat meningkatkan kreatinin dan menyebabkan hiperkalemia karena menurunkan aktivitas sistem renin-angiotensin-aldosteron.,,,
2,42,KARDIOVASKULAR,Seorang pria (55 thn) mengonsumsi Hidralazin untuk darah tingginya. Ia mengeluh wajah memerah dan jantung berdebar. Dokter mewaspadai efek samping khas jangka panjang dari obat ini. Monitoring apa yang paling penting dilakukan secara rutin pada pasien yang menggunakan hidralazin?,Pemeriksaan fungsi hati (LFT),Pemeriksaan kadar asam urat,Pemeriksaan kadar kalsium,Pemeriksaan tekanan darah dan denyut jantung,Pemeriksaan fungsi tiroid,D,"Hidralazin adalah vasodilator. Efek yang sering muncul adalah flushing/wajah merah, palpitasi, dan refleks takikardia, sehingga tekanan darah dan denyut jantung perlu dipantau.",,,
3,43,KARDIOVASKULAR,"Seorang pasien dengan hiperlipidemia (kolesterol total 280mg/dl, LDL 190mg/dl) dan anemiadefisiensi besi (Hb 9g/gl, feritin rendah) membutuhkan terapi. Manakah obat penurun lipid yang paling aman tanpa memperburuk anemia?",Kolestiramin,Ezetimibe,Atorvastatin,Gemfibrozil,Asam nikotinat (Niasin),C,"LDL 190 mg/dL termasuk indikasi kuat untuk terapi statin intensitas tinggi. Atorvastatin menurunkan LDL secara kuat dan tidak mengganggu absorpsi zat besi secara bermakna.
Kolestiramin dapat mengganggu absorpsi beberapa obat/vitamin. Ezetimibe biasanya tambahan, bukan pilihan utama untuk LDL sangat tinggi. Gemfibrozil lebih untuk trigliserida. Niasin banyak efek samping dan bukan lini utama.",,,
4,44,KARDIOVASKULAR,Seorang pasien (64 thn) mengonsumsi Verapamil dan Atorvastatin. Ia mengeluh nyeri otot (paha dan betis) dan hasil lab menunjukkan kadar Kreatin Kinase naik. Dokter mencurigai adanya interaksi antar obat tersebut. Interaksi obat manakah yang paling mungkin menjelaskan gejala miopati pada pasien ini?,Lisinopril + aspirin,Furosemid + aspirin,Atorvastatin + furosemid,Verapamil + atorvastatin,Amlodipin + aspirin,D,"Atorvastatin dapat menyebabkan miopati/rhabdomiolisis, ditandai nyeri otot dan CK meningkat. Risiko meningkat bila kadar statin naik akibat interaksi, misalnya dengan penghambat CYP3A4 seperti verapamil..",,,
5,45,KARDIOVASKULAR,"Seorang pria (58 thn) penderita gagal ginjal mengalami anemia dengan Hb 7,5 g/dL. Hasil lab menunjukkan cadangan zat besi (Ferritin 200 ng/mL), namun penggunaan besi rendah (TSAT 17%). Terapi mana yang paling tepat diberikan pada pasien ini?",Epoetin alfa,Sianokobalamin,Asam folat,Vitamin B9,Tablet besi,A,"Pada CKD, anemia sering terjadi karena produksi eritropoietin ginjal menurun. Hb 7,5 g/dL termasuk rendah, sehingga terapi ESA seperti epoetin alfa dapat dipertimbangkan, sambil tetap memantau status besi seperti ferritin dan TSAT. KDIGO menyebut Hb, ferritin, dan TSAT sebagai parameter penting dalam pemantauan anemia CKD.",,,
6,46,KARDIOVASKULAR,Pasien 52 tahun datang ke puskesmas dengan keluhan sering sakit kepala terutama di pagi hari dan mudah lelah. Tekanan darah diukur dua kali dengan hasil konsisten 140/90 mmHg. Riwayat penyakit sebelumnya tidak ada diabetes maupun penyakit ginjal kronis. Dokter ingin memberikan terapi untuk menurunkan tekanan darah pasien. Obat antihipertensi lini pertama yang paling tepat untuk pasien ini adalah...,Furosemid,Propranolol,Captopril,Spironolakton,Minoksidil,C,"Pada hipertensi tanpa komorbid khusus, lini pertama dapat berupa ACE inhibitor/ARB, CCB dihidropiridin, atau diuretik tiazid. Dari pilihan yang tersedia, captopril paling sesuai sebagai ACE inhibitor.",,,
7,47,KARDIOVASKULAR,Pasien laki-laki usia 50 tahun memiliki riwayat DM tipe 2 dilarikan ke UGD karena keadaan tidak sadar dengan TD 180/170. Hasil CT Scan dan pemeriksaan menunjukkan bahwa pasien mengalami hipertensi ensefalopati. Obat antihipertensi apa yang direkomendasikan diberikan pada pasien tersebut yang memiliki mekanisme kerja sebagai vasodilator?,Verapamil,Nitroglicerin,Furosemid,Hidroklortiazid,Diltiazem,B,Nitroglicerin bekerja sebagai vasodilator melalui pelepasan nitric oxide. Pada kondisi hipertensi emergensi diperlukan obat yang bekerja cepat dan dapat dikontrol.,,,
8,48,KARDIOVASKULAR,Seorang pria berusia 52 tahun datang berkonsultasi dengan dokter di klinik dekat rumahnya dan didiagnosis hipertensi. Diketahui riwayat pasien setahun terakhir memiliki asam urat. Dokter hendak memilih antihipertensi yang sesuai dengan kondisi pasien tersebut. Obat hipertensi golongan apa yang dikontraindikasikan dengan pasien hiperurisemia?,ACE inhibitor,ARB,CCB dihidropiridin,Diuretik,Beta Blocker,D,"Diuretik, terutama tiazid, dapat meningkatkan kadar asam urat sehingga kurang sesuai pada pasien hiperurisemia/gout.",,,
9,49,KARDIOVASKULAR,"Manakah obat antihipertensi yang dapat menyebabkan efek samping hipotensi postural pada administrasi awal, sehingga perlu dilakukan monitoring terhadap tekanan darah?",Chlorthalidone,Prazosin,Bisoprolol,Indapamide,Metildopa,B,"Prazosin adalah alfa-1 blocker. Efek khasnya adalah ""first dose phenomenon"", yaitu hipotensi postural/sinkop setelah dosis awal.",,,
10,50,KARDIOVASKULAR,"Seorang pasien mengeluh pusing dan nyeri di kepala bagian belakang, rasa nyeri seperti diikat dan berat. Hasil pengukuran TD adalah 160/100 mmHg. Diketahui pasien saat ini juga menjalani pengobatan DM dengan glimepiride dan insulin aspart, dokter berdiskusi tentang pemilihan obat yang sesuai dengan kondisi pasien tersebut. Apakah obat yang anda rekomendasikan?",Kaptopril,Furosemide,Spironolakton,Amlodipine,Doxazosin,A,"Pada pasien hipertensi dengan DM, ACE inhibitor seperti kaptopril sering dipilih karena memberi manfaat proteksi ginjal dan kardiovaskular.",,,
